Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",3,4.22,Crown,Paperback,544,2004,2003,,2019/01/15,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",4,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2020/04/14,2017/04/07,,,read,,,,1,0
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,"Christensen, Clayton M.",,"=""0060521996""","=""9780060521998""",0,4.05,HarperCollins Publishers,Paperback,320,2003,1997,,2020/01/30,to-read,to-read (#83),to-read,,,,0,0
36200111,Tribe Of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",0,4.08,Harper Business,Kindle Edition,561,2017,2017,,2017/11/27,,,read,,,,1,0
19395553,Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,Max Tegmark,"Tegmark, Max",,"=""1846144760""","=""9781846144769""",0,4.19,Allen Lane,Hardcover,432,2014,2012,,2018/09/23,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu","Ken Liu, Cixin Liu","=""""","=""""",0,4.09,Tor Books,Hardcover,472,2014,2006,,2020/01/02,to-read,to-read (#82),to-read,,,,0,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.46,Doubleday,Hardcover,441,2019,2018,,2019/04/17,,,read,,,,1,0
82120,The Worldly Philosophers,Robert L. Heilbroner,"Heilbroner, Robert L.",,"=""068486214X""","=""9780684862149""",0,4.16,Touchstone/Simon & Schuster (NY),Paperback,368,1999,1953,,2019/03/01,,,read,,,,1,0
40554093,Maoism,Julia Lovell,"Lovell, Julia",,"=""184792249X""","=""9781847922496""",0,3.98,The Bodley Head,Hardcover,624,2019,2019,,2019/12/14,to-read,to-read (#81),to-read,,,,0,0
38657386,Leadership: In Turbulent Times,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.40,Simon & Schuster,Hardcover,473,2018,2018,,2018/10/25,,,read,,,,1,0
